library,module,declaration,generated_term,occurrences,outcome,kernel_reason
Init,Init.Data.BitVec.Lemmas,BitVec.le_toInt_shiftRight,_private.Init.Data.BitVec.Lemmas.0.BitVec.le_toInt_shiftRight._proof_1_1,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.msb_one,_private.Init.Data.BitVec.Lemmas.0.BitVec.msb_one._proof_1_2,4,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.msb_setWidth,_private.Init.Data.BitVec.Lemmas.0.BitVec.msb_setWidth._proof_1_1,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.sdivOverflow_eq_negOverflow_of_eq_allOnes,_private.Init.Data.BitVec.Lemmas.0.BitVec.sdivOverflow_eq_negOverflow_of_eq_allOnes._proof_1_4,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.setWidth_setWidth,_private.Init.Data.BitVec.Lemmas.0.BitVec.setWidth_setWidth._proof_1_1,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.sle_eq_not_slt,_private.Init.Data.BitVec.Lemmas.0.BitVec.sle_eq_not_slt._proof_1_5,3,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.sle_eq_slt_or_eq,_private.Init.Data.BitVec.Lemmas.0.BitVec.sle_eq_slt_or_eq._proof_1_5,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.sub_le_sub_iff_le,_private.Init.Data.BitVec.Lemmas.0.BitVec.sub_le_sub_iff_le._proof_1_1,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.toInt_mul_toInt_lt_neg_two_pow_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.toInt_mul_toInt_lt_neg_two_pow_iff._proof_1_7,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.toInt_mul_toInt_lt_neg_two_pow_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.toInt_mul_toInt_lt_neg_two_pow_iff._proof_1_8,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.toInt_neg_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.toInt_neg_iff._proof_1_1,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.toInt_pos_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.toInt_pos_iff._proof_1_1,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.toInt_shiftRight_lt,_private.Init.Data.BitVec.Lemmas.0.BitVec.toInt_shiftRight_lt._proof_1_1,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.toInt_sub_toInt_lt_twoPow_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.toInt_sub_toInt_lt_twoPow_iff._proof_1_1,4,removed,
