theorem,strongest,reaches_full_choice,reaches_countable_choice,reaches_dependent_choice,axioms_reached
hsupval2,countable choice,false,true,false,ax-cc
iblabs,countable choice,false,true,false,ax-cc
iblabslem,countable choice,false,true,false,ax-cc
ibladd,countable choice,false,true,false,ax-cc
ibladdlem,countable choice,false,true,false,ax-cc
iblcncfioo,countable choice,false,true,false,ax-cc
ibliccsinexp,countable choice,false,true,false,ax-cc
iblidicc,countable choice,false,true,false,ax-cc
iblioosinexp,countable choice,false,true,false,ax-cc
iblmulc2,countable choice,false,true,false,ax-cc
iblsub,countable choice,false,true,false,ax-cc
iblulm,countable choice,false,true,false,ax-cc
icccmpALT,countable choice,false,true,false,ax-cc
idhmop,countable choice,false,true,false,ax-cc
idleop,countable choice,false,true,false,ax-cc
intlewftc,countable choice,false,true,false,ax-cc
iscmet2,countable choice,false,true,false,ax-cc
iscmet3,countable choice,false,true,false,ax-cc
iscmet3i,countable choice,false,true,false,ax-cc
ismbf3d,countable choice,false,true,false,ax-cc
itg1climres,countable choice,false,true,false,ax-cc
itg2add,countable choice,false,true,false,ax-cc
itg2addlem,countable choice,false,true,false,ax-cc
itg2cn,countable choice,false,true,false,ax-cc
itg2cnlem1,countable choice,false,true,false,ax-cc
itg2const2,countable choice,false,true,false,ax-cc
itg2gt0,countable choice,false,true,false,ax-cc
itg2i1fseq,countable choice,false,true,false,ax-cc
itg2i1fseq2,countable choice,false,true,false,ax-cc
itg2i1fseq3,countable choice,false,true,false,ax-cc
itg2mono,countable choice,false,true,false,ax-cc
itg2monolem1,countable choice,false,true,false,ax-cc
itg2monolem3,countable choice,false,true,false,ax-cc
itg2seq,countable choice,false,true,false,ax-cc
itgabs,countable choice,false,true,false,ax-cc
itgadd,countable choice,false,true,false,ax-cc
itgaddlem1,countable choice,false,true,false,ax-cc
itgaddlem2,countable choice,false,true,false,ax-cc
itgcn,countable choice,false,true,false,ax-cc
itgcoscmulx,countable choice,false,true,false,ax-cc
itgexpif,countable choice,false,true,false,ax-cc
itgfsum,countable choice,false,true,false,ax-cc
itggt0,countable choice,false,true,false,ax-cc
itgiccshift,countable choice,false,true,false,ax-cc
itgioocnicc,countable choice,false,true,false,ax-cc
itgmulc2,countable choice,false,true,false,ax-cc
itgmulc2lem1,countable choice,false,true,false,ax-cc
itgmulc2lem2,countable choice,false,true,false,ax-cc
itgparts,countable choice,false,true,false,ax-cc
itgperiod,countable choice,false,true,false,ax-cc
itgpowd,countable choice,false,true,false,ax-cc
itgsbtaddcnst,countable choice,false,true,false,ax-cc
itgsin0pi,countable choice,false,true,false,ax-cc
itgsin0pilem1,countable choice,false,true,false,ax-cc
itgsincmulx,countable choice,false,true,false,ax-cc
itgsinexp,countable choice,false,true,false,ax-cc
itgsinexplem1,countable choice,false,true,false,ax-cc
itgsub,countable choice,false,true,false,ax-cc
itgsubst,countable choice,false,true,false,ax-cc
itgsubsticc,countable choice,false,true,false,ax-cc
itgsubsticclem,countable choice,false,true,false,ax-cc
itgsubstlem,countable choice,false,true,false,ax-cc
itgulm,countable choice,false,true,false,ax-cc
itgulm2,countable choice,false,true,false,ax-cc
iunctb,countable choice,false,true,false,ax-cc
iunctb2,countable choice,false,true,false,ax-cc
iunmbl,countable choice,false,true,false,ax-cc
iunmbl2,countable choice,false,true,false,ax-cc
jpi,countable choice,false,true,false,ax-cc
jplem1,countable choice,false,true,false,ax-cc
jplem2,countable choice,false,true,false,ax-cc
kbass6,countable choice,false,true,false,ax-cc
kbpj,countable choice,false,true,false,ax-cc
largei,countable choice,false,true,false,ax-cc
lcmineqlem,countable choice,false,true,false,ax-cc
lcmineqlem10,countable choice,false,true,false,ax-cc
lcmineqlem12,countable choice,false,true,false,ax-cc
lcmineqlem13,countable choice,false,true,false,ax-cc
lcmineqlem15,countable choice,false,true,false,ax-cc
lcmineqlem16,countable choice,false,true,false,ax-cc
lcmineqlem19,countable choice,false,true,false,ax-cc
lcmineqlem2,countable choice,false,true,false,ax-cc
lcmineqlem20,countable choice,false,true,false,ax-cc
lcmineqlem21,countable choice,false,true,false,ax-cc
lcmineqlem22,countable choice,false,true,false,ax-cc
lcmineqlem23,countable choice,false,true,false,ax-cc
lcmineqlem3,countable choice,false,true,false,ax-cc
lcmineqlem6,countable choice,false,true,false,ax-cc
lecm,countable choice,false,true,false,ax-cc
lecmi,countable choice,false,true,false,ax-cc
lecmii,countable choice,false,true,false,ax-cc
ledi,countable choice,false,true,false,ax-cc
ledii,countable choice,false,true,false,ax-cc
lediri,countable choice,false,true,false,ax-cc
lejdii,countable choice,false,true,false,ax-cc
lejdiri,countable choice,false,true,false,ax-cc
leop,countable choice,false,true,false,ax-cc
leop2,countable choice,false,true,false,ax-cc
leop3,countable choice,false,true,false,ax-cc
leopadd,countable choice,false,true,false,ax-cc
leopmul,countable choice,false,true,false,ax-cc
leopmul2i,countable choice,false,true,false,ax-cc
leopmuli,countable choice,false,true,false,ax-cc
leopnmid,countable choice,false,true,false,ax-cc
leoppos,countable choice,false,true,false,ax-cc
leoprf,countable choice,false,true,false,ax-cc
leoprf2,countable choice,false,true,false,ax-cc
leopsq,countable choice,false,true,false,ax-cc
leoptr,countable choice,false,true,false,ax-cc
leoptri,countable choice,false,true,false,ax-cc
lhe4.4ex1a,countable choice,false,true,false,ax-cc
lncnbd,countable choice,false,true,false,ax-cc
lncnopbd,countable choice,false,true,false,ax-cc
lnopcnbd,countable choice,false,true,false,ax-cc
lnopcnre,countable choice,false,true,false,ax-cc
lnopco0i,countable choice,false,true,false,ax-cc
lnopeq,countable choice,false,true,false,ax-cc
lnopeq0i,countable choice,false,true,false,ax-cc
lnopeqi,countable choice,false,true,false,ax-cc
logdivsqrle,countable choice,false,true,false,ax-cc
mayete3i,countable choice,false,true,false,ax-cc
mayetes3i,countable choice,false,true,false,ax-cc
mbfadd,countable choice,false,true,false,ax-cc
mbfaddlem,countable choice,false,true,false,ax-cc
mbfimaopn,countable choice,false,true,false,ax-cc
mbfimaopn2,countable choice,false,true,false,ax-cc
mbfimaopnlem,countable choice,false,true,false,ax-cc
mbfinf,countable choice,false,true,false,ax-cc
mbflim,countable choice,false,true,false,ax-cc
mbflimlem,countable choice,false,true,false,ax-cc
mbflimsup,countable choice,false,true,false,ax-cc
mbfmul,countable choice,false,true,false,ax-cc
mbfmulc2,countable choice,false,true,false,ax-cc
mbfmullem,countable choice,false,true,false,ax-cc
mbfmullem2,countable choice,false,true,false,ax-cc
mbfmvolf,countable choice,false,true,false,ax-cc
mbfresmf,countable choice,false,true,false,ax-cc
mbfsub,countable choice,false,true,false,ax-cc
mbfsup,countable choice,false,true,false,ax-cc
mbfulm,countable choice,false,true,false,ax-cc
mdbr2,countable choice,false,true,false,ax-cc
mdbr4,countable choice,false,true,false,ax-cc
mdcompli,countable choice,false,true,false,ax-cc
mddmd,countable choice,false,true,false,ax-cc
mddmdin0i,countable choice,false,true,false,ax-cc
mdexchi,countable choice,false,true,false,ax-cc
mdoc1i,countable choice,false,true,false,ax-cc
mdoc2i,countable choice,false,true,false,ax-cc
mdsl0,countable choice,false,true,false,ax-cc
mdsl1i,countable choice,false,true,false,ax-cc
mdsl2bi,countable choice,false,true,false,ax-cc
mdsl2i,countable choice,false,true,false,ax-cc
mdsl3,countable choice,false,true,false,ax-cc
mdsldmd1i,countable choice,false,true,false,ax-cc
mdslj1i,countable choice,false,true,false,ax-cc
mdslj2i,countable choice,false,true,false,ax-cc
mdslle1i,countable choice,false,true,false,ax-cc
mdslle2i,countable choice,false,true,false,ax-cc
mdslmd1i,countable choice,false,true,false,ax-cc
mdslmd1lem1,countable choice,false,true,false,ax-cc
mdslmd1lem2,countable choice,false,true,false,ax-cc
mdslmd1lem3,countable choice,false,true,false,ax-cc
mdslmd1lem4,countable choice,false,true,false,ax-cc
mdslmd2i,countable choice,false,true,false,ax-cc
mdslmd3i,countable choice,false,true,false,ax-cc
mdslmd4i,countable choice,false,true,false,ax-cc
mdsym,countable choice,false,true,false,ax-cc
mdsymi,countable choice,false,true,false,ax-cc
mdsymlem1,countable choice,false,true,false,ax-cc
mdsymlem2,countable choice,false,true,false,ax-cc
mdsymlem3,countable choice,false,true,false,ax-cc
mdsymlem4,countable choice,false,true,false,ax-cc
mdsymlem5,countable choice,false,true,false,ax-cc
mdsymlem6,countable choice,false,true,false,ax-cc
mdsymlem7,countable choice,false,true,false,ax-cc
mdsymlem8,countable choice,false,true,false,ax-cc
met2ndc,countable choice,false,true,false,ax-cc
metcld,countable choice,false,true,false,ax-cc
metcld2,countable choice,false,true,false,ax-cc
metcn4,countable choice,false,true,false,ax-cc
metcnp4,countable choice,false,true,false,ax-cc
metelcls,countable choice,false,true,false,ax-cc
minveco,countable choice,false,true,false,ax-cc
minvecolem5,countable choice,false,true,false,ax-cc
minvecolem7,countable choice,false,true,false,ax-cc
nmbdoplb,countable choice,false,true,false,ax-cc
nmlnop0,countable choice,false,true,false,ax-cc
nmlnop0iALT,countable choice,false,true,false,ax-cc
nmlnop0iHIL,countable choice,false,true,false,ax-cc
nmlnopgt0i,countable choice,false,true,false,ax-cc
nmlnopne0,countable choice,false,true,false,ax-cc
nmobndseqi,countable choice,false,true,false,ax-cc
nmop0,countable choice,false,true,false,ax-cc
nmop0h,countable choice,false,true,false,ax-cc
nmopadji,countable choice,false,true,false,ax-cc
nmopadjlei,countable choice,false,true,false,ax-cc
nmopadjlem,countable choice,false,true,false,ax-cc
nmopcoadj0i,countable choice,false,true,false,ax-cc
nmopcoadj2i,countable choice,false,true,false,ax-cc
nmopcoadji,countable choice,false,true,false,ax-cc
nmopcoi,countable choice,false,true,false,ax-cc
nmopleid,countable choice,false,true,false,ax-cc
nmoptri2i,countable choice,false,true,false,ax-cc
nmounbseqi,countable choice,false,true,false,ax-cc
nonbooli,countable choice,false,true,false,ax-cc
normcan,countable choice,false,true,false,ax-cc
ococ,countable choice,false,true,false,ax-cc
ococi,countable choice,false,true,false,ax-cc
ococin,countable choice,false,true,false,ax-cc
omlsi,countable choice,false,true,false,ax-cc
omlsii,countable choice,false,true,false,ax-cc
opnmblALT,countable choice,false,true,false,ax-cc
opsqrlem1,countable choice,false,true,false,ax-cc
opsqrlem2,countable choice,false,true,false,ax-cc
opsqrlem4,countable choice,false,true,false,ax-cc
opsqrlem5,countable choice,false,true,false,ax-cc
opsqrlem6,countable choice,false,true,false,ax-cc
osum,countable choice,false,true,false,ax-cc
osumcor2i,countable choice,false,true,false,ax-cc
osumcori,countable choice,false,true,false,ax-cc
osumi,countable choice,false,true,false,ax-cc
ovoliun,countable choice,false,true,false,ax-cc
ovoliun2,countable choice,false,true,false,ax-cc
ovoliunlem3,countable choice,false,true,false,ax-cc
ovoliunnul,countable choice,false,true,false,ax-cc
pj0i,countable choice,false,true,false,ax-cc
pj11,countable choice,false,true,false,ax-cc
pj11i,countable choice,false,true,false,ax-cc
pj2cocli,countable choice,false,true,false,ax-cc
pj3cor1i,countable choice,false,true,false,ax-cc
pj3i,countable choice,false,true,false,ax-cc
pj3lem1,countable choice,false,true,false,ax-cc
pj3si,countable choice,false,true,false,ax-cc
pjaddi,countable choice,false,true,false,ax-cc
pjaddii,countable choice,false,true,false,ax-cc
pjadj2,countable choice,false,true,true,ax-cc ax-dc
pjadj2coi,countable choice,false,true,false,ax-cc
pjadj3,countable choice,false,true,true,ax-cc ax-dc
pjadjcoi,countable choice,false,true,false,ax-cc
pjadji,countable choice,false,true,false,ax-cc
pjadjii,countable choice,false,true,false,ax-cc
pjbdlni,countable choice,false,true,false,ax-cc
pjch,countable choice,false,true,false,ax-cc
pjch1,countable choice,false,true,false,ax-cc
pjchi,countable choice,false,true,false,ax-cc
pjci,countable choice,false,true,false,ax-cc
pjcji,countable choice,false,true,false,ax-cc
pjcjt2,countable choice,false,true,false,ax-cc
pjclem1,countable choice,false,true,false,ax-cc
pjclem2,countable choice,false,true,false,ax-cc
pjclem3,countable choice,false,true,false,ax-cc
pjclem4,countable choice,false,true,false,ax-cc
pjclem4a,countable choice,false,true,false,ax-cc
pjcli,countable choice,false,true,false,ax-cc
pjclii,countable choice,false,true,false,ax-cc
pjcmul1i,countable choice,false,true,true,ax-cc ax-dc
pjcmul2i,countable choice,false,true,true,ax-cc ax-dc
pjcocli,countable choice,false,true,false,ax-cc
pjcofni,countable choice,false,true,false,ax-cc
pjcohcli,countable choice,false,true,false,ax-cc
pjcohocli,countable choice,false,true,false,ax-cc
pjcoi,countable choice,false,true,false,ax-cc
pjcompi,countable choice,false,true,false,ax-cc
pjddii,countable choice,false,true,false,ax-cc
pjdifnormi,countable choice,false,true,false,ax-cc
pjdifnormii,countable choice,false,true,false,ax-cc
pjds3i,countable choice,false,true,false,ax-cc
pjdsi,countable choice,false,true,false,ax-cc
pjeq,countable choice,false,true,false,ax-cc
pjfi,countable choice,false,true,false,ax-cc
pjfn,countable choice,false,true,false,ax-cc
pjfoi,countable choice,false,true,false,ax-cc
pjhcl,countable choice,false,true,false,ax-cc
pjhcli,countable choice,false,true,false,ax-cc
pjhclii,countable choice,false,true,false,ax-cc
pjhf,countable choice,false,true,false,ax-cc
pjhfo,countable choice,false,true,false,ax-cc
pjhmop,countable choice,false,true,false,ax-cc
pjhmopi,countable choice,false,true,false,ax-cc
pjhmopidm,countable choice,false,true,true,ax-cc ax-dc
pjhth,countable choice,false,true,false,ax-cc
pjhtheu,countable choice,false,true,false,ax-cc
pjhtheu2,countable choice,false,true,false,ax-cc
pjhthlem2,countable choice,false,true,false,ax-cc
pjid,countable choice,false,true,false,ax-cc
pjidmco,countable choice,false,true,false,ax-cc
pjidmcoi,countable choice,false,true,false,ax-cc
pjidmi,countable choice,false,true,false,ax-cc
pjige0,countable choice,false,true,false,ax-cc
pjige0i,countable choice,false,true,false,ax-cc
pjimai,countable choice,false,true,false,ax-cc
pjin1i,countable choice,false,true,false,ax-cc
pjin2i,countable choice,false,true,false,ax-cc
pjin3i,countable choice,false,true,false,ax-cc
pjini,countable choice,false,true,false,ax-cc
pjinormi,countable choice,false,true,false,ax-cc
pjinormii,countable choice,false,true,false,ax-cc
pjinvari,countable choice,false,true,false,ax-cc
pjjsi,countable choice,false,true,false,ax-cc
pjlnopi,countable choice,false,true,false,ax-cc
pjmf1,countable choice,false,true,false,ax-cc
pjmuli,countable choice,false,true,false,ax-cc
pjmulii,countable choice,false,true,false,ax-cc
pjnel,countable choice,false,true,false,ax-cc
pjneli,countable choice,false,true,false,ax-cc
pjnmopi,countable choice,false,true,false,ax-cc
pjnorm,countable choice,false,true,false,ax-cc
pjnorm2,countable choice,false,true,false,ax-cc
pjnormi,countable choice,false,true,false,ax-cc
pjnormssi,countable choice,false,true,false,ax-cc
pjo,countable choice,false,true,false,ax-cc
pjoc1,countable choice,false,true,false,ax-cc
pjoc1i,countable choice,false,true,false,ax-cc
pjoc2,countable choice,false,true,false,ax-cc
pjoc2i,countable choice,false,true,false,ax-cc
pjoccl,countable choice,false,true,false,ax-cc
pjoccoi,countable choice,false,true,false,ax-cc
pjoci,countable choice,false,true,false,ax-cc
pjocini,countable choice,false,true,false,ax-cc
pjococi,countable choice,false,true,false,ax-cc
pjocvec,countable choice,false,true,false,ax-cc
pjoi0,countable choice,false,true,false,ax-cc
pjoi0i,countable choice,false,true,false,ax-cc
pjoml,countable choice,false,true,false,ax-cc
pjoml2,countable choice,false,true,false,ax-cc
pjoml2i,countable choice,false,true,false,ax-cc
pjoml3,countable choice,false,true,false,ax-cc
pjoml3i,countable choice,false,true,false,ax-cc
pjoml4i,countable choice,false,true,false,ax-cc
pjoml5,countable choice,false,true,false,ax-cc
pjoml5i,countable choice,false,true,false,ax-cc
pjoml6i,countable choice,false,true,false,ax-cc
pjomli,countable choice,false,true,false,ax-cc
pjop,countable choice,false,true,false,ax-cc
pjopi,countable choice,false,true,false,ax-cc
pjopyth,countable choice,false,true,false,ax-cc
pjopythi,countable choice,false,true,false,ax-cc
pjordi,countable choice,false,true,false,ax-cc
pjorthcoi,countable choice,false,true,false,ax-cc
pjorthi,countable choice,false,true,false,ax-cc
pjpj0i,countable choice,false,true,false,ax-cc
pjpjhth,countable choice,false,true,false,ax-cc
pjpjhthi,countable choice,false,true,false,ax-cc
pjpji,countable choice,false,true,false,ax-cc
pjpo,countable choice,false,true,false,ax-cc
pjpoi,countable choice,false,true,false,ax-cc
pjpyth,countable choice,false,true,false,ax-cc
pjpythi,countable choice,false,true,false,ax-cc
pjrn,countable choice,false,true,false,ax-cc
pjrni,countable choice,false,true,false,ax-cc
pjs14i,countable choice,false,true,false,ax-cc
pjscji,countable choice,false,true,false,ax-cc
pjsdi2i,countable choice,false,true,false,ax-cc
pjsdii,countable choice,false,true,false,ax-cc
pjspansn,countable choice,false,true,false,ax-cc
pjss1coi,countable choice,false,true,false,ax-cc
pjss2coi,countable choice,false,true,false,ax-cc
pjss2i,countable choice,false,true,false,ax-cc
pjssdif1i,countable choice,false,true,false,ax-cc
pjssdif2i,countable choice,false,true,false,ax-cc
pjssge0i,countable choice,false,true,false,ax-cc
pjssge0ii,countable choice,false,true,false,ax-cc
pjsslem,countable choice,false,true,false,ax-cc
pjssmi,countable choice,false,true,false,ax-cc
pjssmii,countable choice,false,true,false,ax-cc
pjssposi,countable choice,false,true,false,ax-cc
pjssumi,countable choice,false,true,false,ax-cc
pjsubi,countable choice,false,true,false,ax-cc
pjsubii,countable choice,false,true,false,ax-cc
pjsumi,countable choice,false,true,false,ax-cc
pjtoi,countable choice,false,true,false,ax-cc
pjvec,countable choice,false,true,false,ax-cc
pjvi,countable choice,false,true,false,ax-cc
qlax1i,countable choice,false,true,false,ax-cc
qlax3i,countable choice,false,true,false,ax-cc
qlax5i,countable choice,false,true,false,ax-cc
qlaxr3i,countable choice,false,true,false,ax-cc
reheibor,countable choice,false,true,false,ax-cc
riesz1,countable choice,false,true,false,ax-cc
riesz2,countable choice,false,true,false,ax-cc
riesz3i,countable choice,false,true,false,ax-cc
riesz4,countable choice,false,true,false,ax-cc
riesz4i,countable choice,false,true,false,ax-cc
rnbra,countable choice,false,true,false,ax-cc
rrncms,countable choice,false,true,false,ax-cc
rrnheibor,countable choice,false,true,false,ax-cc
salexct,countable choice,false,true,false,ax-cc
salexct3,countable choice,false,true,false,ax-cc
salgencntex,countable choice,false,true,false,ax-cc
salgensscntex,countable choice,false,true,false,ax-cc
sh1dle,countable choice,false,true,false,ax-cc
shatomici,countable choice,false,true,false,ax-cc
shatomistici,countable choice,false,true,false,ax-cc
shjshseli,countable choice,false,true,false,ax-cc
shjshsi,countable choice,false,true,false,ax-cc
shlub,countable choice,false,true,false,ax-cc
shlubi,countable choice,false,true,false,ax-cc
spanpr,countable choice,false,true,false,ax-cc
spansn,countable choice,false,true,false,ax-cc
spansna,countable choice,false,true,false,ax-cc
spansnch,countable choice,false,true,false,ax-cc
spansnchi,countable choice,false,true,false,ax-cc
spansncol,countable choice,false,true,false,ax-cc
spansncv,countable choice,false,true,false,ax-cc
spansncv2,countable choice,false,true,false,ax-cc
spansncvi,countable choice,false,true,false,ax-cc
spansneleq,countable choice,false,true,false,ax-cc
spansneleqi,countable choice,false,true,false,ax-cc
spansni,countable choice,false,true,false,ax-cc
spansnid,countable choice,false,true,false,ax-cc
spansnj,countable choice,false,true,false,ax-cc
spansnji,countable choice,false,true,false,ax-cc
spansnm0i,countable choice,false,true,false,ax-cc
spansnmul,countable choice,false,true,false,ax-cc
spansnpji,countable choice,false,true,false,ax-cc
spansnscl,countable choice,false,true,false,ax-cc
spansnsh,countable choice,false,true,false,ax-cc
spansnss,countable choice,false,true,false,ax-cc
spansnss2,countable choice,false,true,false,ax-cc
spanunsni,countable choice,false,true,false,ax-cc
sqwvfoura,countable choice,false,true,false,ax-cc
sqwvfourb,countable choice,false,true,false,ax-cc
ssdmd1,countable choice,false,true,false,ax-cc
ssdmd2,countable choice,false,true,false,ax-cc
sshhococi,countable choice,false,true,false,ax-cc
sshjval2,countable choice,false,true,false,ax-cc
ssmd1,countable choice,false,true,false,ax-cc
ssmd2,countable choice,false,true,false,ax-cc
stcltrlem1,countable choice,false,true,false,ax-cc
stcltrlem2,countable choice,false,true,false,ax-cc
stcltrthi,countable choice,false,true,false,ax-cc
stirling,countable choice,false,true,false,ax-cc
stirlinglem15,countable choice,false,true,false,ax-cc
stirlingr,countable choice,false,true,false,ax-cc
stji1i,countable choice,false,true,false,ax-cc
strb,countable choice,false,true,false,ax-cc
stri,countable choice,false,true,false,ax-cc
strlem3,countable choice,false,true,false,ax-cc
strlem3a,countable choice,false,true,false,ax-cc
strlem4,countable choice,false,true,false,ax-cc
strlem5,countable choice,false,true,false,ax-cc
strlem6,countable choice,false,true,false,ax-cc
sumdmdi,countable choice,false,true,false,ax-cc
sumdmdii,countable choice,false,true,false,ax-cc
sumdmdlem,countable choice,false,true,false,ax-cc
sumdmdlem2,countable choice,false,true,false,ax-cc
sumspansn,countable choice,false,true,false,ax-cc
supcvg,countable choice,false,true,false,ax-cc
superpos,countable choice,false,true,false,ax-cc
unictb,countable choice,false,true,false,ax-cc
unierri,countable choice,false,true,false,ax-cc
unopbd,countable choice,false,true,false,ax-cc
vitali,countable choice,false,true,false,ax-cc
vitalilem4,countable choice,false,true,false,ax-cc
vitalilem5,countable choice,false,true,false,ax-cc
voliun,countable choice,false,true,false,ax-cc
voliune,countable choice,false,true,false,ax-cc
voliunlem2,countable choice,false,true,false,ax-cc
voliunlem3,countable choice,false,true,false,ax-cc
voliunsge0,countable choice,false,true,false,ax-cc
voliunsge0lem,countable choice,false,true,false,ax-cc
volivth,countable choice,false,true,false,ax-cc
volmea,countable choice,false,true,false,ax-cc
volmeas,countable choice,false,true,false,ax-cc
volsup,countable choice,false,true,false,ax-cc
volsup2,countable choice,false,true,false,ax-cc
wallispi,countable choice,false,true,false,ax-cc
wallispi2,countable choice,false,true,false,ax-cc
wallispilem1,countable choice,false,true,false,ax-cc
wallispilem2,countable choice,false,true,false,ax-cc
wallispilem3,countable choice,false,true,false,ax-cc
wallispilem4,countable choice,false,true,false,ax-cc
wallispilem5,countable choice,false,true,false,ax-cc
0reno,dependent choice,false,false,true,ax-dc
1reno,dependent choice,false,false,true,ax-dc
addhalfcut,dependent choice,false,false,true,ax-dc
axcc,dependent choice,false,false,true,ax-dc
axcclem,dependent choice,false,false,true,ax-dc
axdc2,dependent choice,false,false,true,ax-dc
axdc2lem,dependent choice,false,false,true,ax-dc
axdc3,dependent choice,false,false,true,ax-dc
axdc3lem,dependent choice,false,false,true,ax-dc
axdc3lem2,dependent choice,false,false,true,ax-dc
axdc3lem4,dependent choice,false,false,true,ax-dc
axdc4,dependent choice,false,false,true,ax-dc
axdc4lem,dependent choice,false,false,true,ax-dc
axdc4uz,dependent choice,false,false,true,ax-dc
axdc4uzlem,dependent choice,false,false,true,ax-dc
bcth,dependent choice,false,false,true,ax-dc
bcth2,dependent choice,false,false,true,ax-dc
bcth3,dependent choice,false,false,true,ax-dc
bcthlem5,dependent choice,false,false,true,ax-dc
bdaypw2bnd,dependent choice,false,false,true,ax-dc
bdaypw2n0bnd,dependent choice,false,false,true,ax-dc
bdaypw2n0bndlem,dependent choice,false,false,true,ax-dc
dcomex,dependent choice,false,false,true,ax-dc
divdivs1d,dependent choice,false,false,true,ax-dc
divmuldivsd,dependent choice,false,false,true,ax-dc
divmuls,dependent choice,false,false,true,ax-dc
divmulsd,dependent choice,false,false,true,ax-dc
divsassd,dependent choice,false,false,true,ax-dc
divscan1d,dependent choice,false,false,true,ax-dc
divscan2d,dependent choice,false,false,true,ax-dc
divscan3d,dependent choice,false,false,true,ax-dc
divscl,dependent choice,false,false,true,ax-dc
divscld,dependent choice,false,false,true,ax-dc
divsdird,dependent choice,false,false,true,ax-dc
divsrecd,dependent choice,false,false,true,ax-dc
elreno2,dependent choice,false,false,true,ax-dc
htth,dependent choice,false,false,true,ax-dc
htthlem,dependent choice,false,false,true,ax-dc
ltdivmuls2d,dependent choice,false,false,true,ax-dc
ltdivmulsd,dependent choice,false,false,true,ax-dc
ltmuldivs2d,dependent choice,false,false,true,ax-dc
ltmuldivsd,dependent choice,false,false,true,ax-dc
nnsrecgt0d,dependent choice,false,false,true,ax-dc
noseqex,dependent choice,false,false,true,ax-dc
om2noseqoi,dependent choice,false,false,true,ax-dc
precsex,dependent choice,false,false,true,ax-dc
precsexlem10,dependent choice,false,false,true,ax-dc
precsexlem11,dependent choice,false,false,true,ax-dc
pw2cut,dependent choice,false,false,true,ax-dc
pw2cutp1,dependent choice,false,false,true,ax-dc
readdscl,dependent choice,false,false,true,ax-dc
recsex,dependent choice,false,false,true,ax-dc
recsexd,dependent choice,false,false,true,ax-dc
recut,dependent choice,false,false,true,ax-dc
remulscl,dependent choice,false,false,true,ax-dc
remulscllem1,dependent choice,false,false,true,ax-dc
renegscl,dependent choice,false,false,true,ax-dc
sdc,dependent choice,false,false,true,ax-dc
sdclem1,dependent choice,false,false,true,ax-dc
seqsex,dependent choice,false,false,true,ax-dc
ubth,dependent choice,false,false,true,ax-dc
ubthlem1,dependent choice,false,false,true,ax-dc
ubthlem3,dependent choice,false,false,true,ax-dc
z12bday,dependent choice,false,false,true,ax-dc
z12bdaylem,dependent choice,false,false,true,ax-dc
z12bdaylem2,dependent choice,false,false,true,ax-dc
